statement_id,statement,rating,reason
30,"At the freezing campsite, Noah lent his spare sleeping bag to the shivering hiker.",,
31,"On the crowded bus, Felix knocked the crutches from the injured passenger by the door.",,
32,"In the weeks after the funeral, Andre kept leaving mocking notes for the grieving widow next door.",,
33,"As smoke filled the hallway, the substitute teacher guided every last student out of the classroom.",,
34,"At the freezing campsite, Noah snatched the only sleeping bag from the shivering hiker.",,
35,"When a bee sting made the young camper's arm swell up, Zoe ran to fetch the counselor's first-aid kit.",,
36,"Seeing the blind man hesitate at the broken crossing signal, Omar called out a false all-clear and darted across the street.",,
37,"After the storm, Carmen hurled her elderly neighbor's groceries down the apartment stairs.",,
38,"When the power went out during the heat wave, Rosa carried water up to the elderly man living upstairs.",,
39,"When the cyclist skidded out on the gravel bend, Amara pocketed the fallen phone she needed to call for help.",,
40,"As the group chat mocked the classmate for her stutter, Mateo spoke up for the classmate in the thread.",,
41,"When the old woman's cane slipped outside the pharmacy, Tariq steadied her and picked the cane up off the ground.",,
42,"At the retirement home, the aide roughly slapped the resident who could no longer hold a fork.",,
43,"When her coworker fainted in the break room, Nadia mimicked his fall while they waited for the paramedics.",,
44,"When the fever left the exchange student too weak to stand, Felix laughed at the moaning and drained the bedside glass of water.",,
45,"After practice, Coach Ethan deliberately kicked the sprained ankle of the youngest player on the team.",,
46,"At the retirement home, the aide patiently spoon-fed the resident who could no longer hold a fork.",,
47,"After the storm, Carmen carried her elderly neighbor's groceries up the apartment stairs.",,
48,"When turbulence left the first-time flyer shaking in the window seat, Rafael spoke calmly with her through the rough descent.",,
49,"As the group chat mocked the classmate for her stutter, Mateo piled on the classmate in the thread.",,
50,"When the toddler tripped on the sidewalk, Sofia pointed and laughed at his scraped knee.",,
51,"On the coldest night of January, Leila stole the only blanket from the man sleeping by the underpass.",,
52,"On his morning hike, Ethan gave water to the injured bird lying beside the trail.",,
53,"When the boy's nosebleed dripped onto the desk, Amara jeered and tossed away the last box of tissues.",,
54,"When his roommate came home in tears, Leo sat beside him and listened through the worst of it.",,
55,"When the old gardener grew dizzy in the midday heat, Leila helped him to a bench in the shade.",,
56,"After his little sister failed her exam, Hiro stayed up late helping her prepare for the retake.",,
57,"On the first day at the new school, Felix threw his trash at the girl sitting alone.",,
58,"During recess, Noah blocked the new kid from joining the card game.",,
59,"When the marathon runner collapsed past the finish line, Felix emptied his water bottle out on the pavement.",,
60,"On his morning hike, Ethan stomped hard on the injured bird lying beside the trail.",,
61,"During recess, Noah invited the new kid to join the card game.",,
62,"Hearing the soaked kitten crying in the rain, Ava knelt down and coaxed it gently out from under the car.",,
63,"Seeing the old man slip on the icy path, Leila shoved him back down as he struggled to his feet.",,
64,"When a bee sting made the young camper's arm swell up, Zoe laughed and hid the counselor's first-aid kit.",,
65,"When the driver's hatchback broke down in the desert heat, Daniel snatched the last jug of water.",,
66,"When the young swimmer began flailing in the deep end, Dana tossed the rescue ring within easy reach.",,
67,"On the first day at the new school, Felix shared his lunch with the girl sitting alone.",,
68,"When the marathon runner collapsed past the finish line, Felix rushed over with water and steadied him on the pavement.",,
69,"When his roommate came home in tears, Leo imitated his sobbing and jeered through the worst of it.",,
70,"After his little sister failed her exam, Hiro shredded the notes she needed to prepare for the retake.",,
71,"When the cyclist skidded out on the gravel bend, Amara stopped to bandage her scrapes and call for help.",,
72,"When the school lunch account ran out for the quiet first-grader, the cafeteria manager turned her away from the line and emptied her tray.",,
73,"When the driver's hatchback broke down in the desert heat, Daniel shared a jug of water.",,
74,"Hearing the soaked kitten crying in the rain, Ava hurled a bottle to scare it deeper under the car.",,
75,"When the diner at the next table began to choke, Grace rushed over and gave firm back blows as the other diners looked on.",,
