statement_id,statement,intended,gemini_3.6_flash-2,gemini_3.6_flash-3,gemini_3.6_flash,gpt_5.6_luna-2,gpt_5.6_luna-3,gpt_5.6_luna,opus_5-2,opus_5-3,opus_5,n_depends,unanimous,matches_intended
55,"While drawing the raffle winner at the school fundraiser, Tom fished out a cousin's ticket from the folded names.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
56,"Whenever the family board game got close, Ethan slid the pieces two extra spaces after the dice were rolled.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
57,"Out on the lake before dawn, Ava stuffed a cooler far beyond the posted catch limit.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
58,"When the apartment chore chart came around again, Nadia scrubbed the bathroom on the assigned week.",good,good,good,good,good,good,good,good,good,good,0,True,True
59,"Selling tomatoes at the farmers market stall, Amara propped a hidden weight on the certified scale.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
60,"Keeping score at the bowling league, Fatima entered all frames exactly as they were bowled.",good,good,good,good,good,good,good,good,good,good,0,True,True
61,"Updating the classroom sticker chart on Friday, Amara gave each pupil the stars their reading had earned.",good,good,good,good,good,good,good,good,good,good,0,True,True
62,"Halfway through the charity 10k, Fatima followed every marked turn all the way around the official course.",good,good,good,good,good,good,good,good,good,good,0,True,True
63,"When the director praised the ad campaign, Carmen claimed the concept sketches and never mentioned the junior designer.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
64,"After losing the coin toss for the last parking spot, Tom swerved in and took the space from the winning driver.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
65,"When the dinner bill came for the table of six, Leila dodged the check and skipped a share of the total.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
66,"Counting the ballots for the club presidency, Sofia recorded each vote as marked in the final tally.",good,good,good,good,good,good,good,good,good,good,0,True,True
67,"When pairing the chess tournament brackets, Malik handed friends easy draws regardless of the posted ratings.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
68,"With no umpire at the club tennis final, Mateo called winning serves out no matter where they landed.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
69,"Out on the lake before dawn, Ava stopped casting after reaching the posted catch limit.",good,good,good,good,good,good,good,good,good,good,0,True,True
70,"When the director praised the ad campaign, Carmen credited the concept sketches to the junior designer.",good,good,good,good,good,good,good,good,good,good,0,True,True
71,"When the tenants moved out of the spotless apartment, Tariq returned every cent of the deposit.",good,good,good,good,good,good,good,good,good,good,0,True,True
72,"When the dinner bill came for the table of six, Leila chipped in a full share of the total.",good,good,good,good,good,good,good,good,good,good,0,True,True
73,"Keeping score at the bowling league, Fatima shaved pins off rivals' frames as they were bowled.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
74,"Halfway through the charity 10k, Fatima cut through the park to skip a mile of the official course.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
75,"Splitting the quarterly bonus pool among the sales team, Rafael divided it by the deals each member had closed.",good,good,good,good,good,good,good,good,good,good,0,True,True
76,"When overtime hours were handed out on the dock, Fatima handed the extra shifts to favorites ignoring the crew list.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
77,"With no umpire at the club tennis final, Mateo called the close serves exactly where they landed.",good,good,good,good,good,good,good,good,good,good,0,True,True
78,"Counting the ballots for the club presidency, Sofia slipped a rival's ballots out of the final tally.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
79,"Working the till at the charity bake sale, Daniel counted back exact change for every purchase.",good,good,good,good,good,good,good,good,good,good,0,True,True
