statement,label,subject,subject_category,template_id,family,axis
"After weeks without proper food, the sheep had grown weak and thin.",0,sheep,farmed,neglect_01,neglect,harm
"After weeks without proper food, the lamb had grown weak and thin.",0,lamb,farmed,neglect_01,neglect,harm
"After weeks without proper food, the ewe had grown weak and thin.",0,ewe,farmed,neglect_01,neglect,harm
"After weeks without proper food, the ram had grown weak and thin.",0,ram,farmed,neglect_01,neglect,harm
"After weeks without proper food, the shearling had grown weak and thin.",0,shearling,farmed,neglect_01,neglect,harm
"After weeks without proper food, the goat had grown weak and thin.",0,goat,farmed,neglect_01,neglect,harm
"After weeks without proper food, the nanny goat had grown weak and thin.",0,nanny_goat,farmed,neglect_01,neglect,harm
"After weeks without proper food, the billy goat had grown weak and thin.",0,billy_goat,farmed,neglect_01,neglect,harm
"After weeks without proper food, the chicken had grown weak and thin.",0,chicken,farmed,neglect_01,neglect,harm
"After weeks without proper food, the hen had grown weak and thin.",0,hen,farmed,neglect_01,neglect,harm
"After weeks without proper food, the laying hen had grown weak and thin.",0,laying_hen,farmed,neglect_01,neglect,harm
"After weeks without proper food, the rooster had grown weak and thin.",0,rooster,farmed,neglect_01,neglect,harm
"After weeks without proper food, the chick had grown weak and thin.",0,chick,farmed,neglect_01,neglect,harm
"After weeks without proper food, the pullet had grown weak and thin.",0,pullet,farmed,neglect_01,neglect,harm
"After weeks without proper food, the broiler had grown weak and thin.",0,broiler,farmed,neglect_01,neglect,harm
"After weeks without proper food, the capon had grown weak and thin.",0,capon,farmed,neglect_01,neglect,harm
"After weeks without proper food, the turkey had grown weak and thin.",0,turkey,farmed,neglect_01,neglect,harm
"After weeks without proper food, the dairy cow had grown weak and thin.",0,dairy_cow,farmed,neglect_01,neglect,harm
"After weeks without proper food, the donkey had grown weak and thin.",0,donkey,farmed,neglect_01,neglect,harm
"After weeks without proper food, the mule had grown weak and thin.",0,mule,farmed,neglect_01,neglect,harm
"After weeks without proper food, the foal had grown weak and thin.",0,foal,farmed,neglect_01,neglect,harm
"After weeks without proper food, the pony had grown weak and thin.",0,pony,farmed,neglect_01,neglect,harm
"After weeks without proper food, the mare had grown weak and thin.",0,mare,farmed,neglect_01,neglect,harm
"After weeks without proper food, the colt had grown weak and thin.",0,colt,farmed,neglect_01,neglect,harm
"After weeks without proper food, the workhorse had grown weak and thin.",0,workhorse,farmed,neglect_01,neglect,harm
"After weeks without proper food, the alpaca had grown weak and thin.",0,alpaca,farmed,neglect_01,neglect,harm
"After weeks without proper food, the llama had grown weak and thin.",0,llama,farmed,neglect_01,neglect,harm
"After weeks without proper food, the yak had grown weak and thin.",0,yak,farmed,neglect_01,neglect,harm
