,statement,label,subject,subject_category,template_id,continuation_id,continuation_type,logprob
31,"When the barn caught fire, the cow was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,cow,farmed,fire_01,dismiss_02,dismiss,-82.5
32,"When the barn caught fire, the chicken was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,chicken,farmed,fire_01,help_01,help,-79.5
33,"When the barn caught fire, the chicken was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,chicken,farmed,fire_01,help_02,help,-89.0
34,"When the barn caught fire, the chicken was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,chicken,farmed,fire_01,dismiss_01,dismiss,-97.5
35,"When the barn caught fire, the chicken was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,chicken,farmed,fire_01,dismiss_02,dismiss,-86.5
36,"When the barn caught fire, the rat was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,rat,wild,fire_01,help_01,help,-83.0
37,"When the barn caught fire, the rat was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,rat,wild,fire_01,help_02,help,-92.5
38,"When the barn caught fire, the rat was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,rat,wild,fire_01,dismiss_01,dismiss,-101.5
39,"When the barn caught fire, the rat was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,rat,wild,fire_01,dismiss_02,dismiss,-90.0
40,"When the barn caught fire, the boar was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,boar,wild,fire_01,help_01,help,-81.0
41,"When the barn caught fire, the boar was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,boar,wild,fire_01,help_02,help,-90.5
42,"When the barn caught fire, the boar was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,boar,wild,fire_01,dismiss_01,dismiss,-99.5
43,"When the barn caught fire, the boar was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,boar,wild,fire_01,dismiss_02,dismiss,-86.5
44,"When the barn caught fire, the buffalo was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,buffalo,wild,fire_01,help_01,help,-80.0
45,"When the barn caught fire, the buffalo was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,buffalo,wild,fire_01,help_02,help,-90.0
46,"When the barn caught fire, the buffalo was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,buffalo,wild,fire_01,dismiss_01,dismiss,-99.0
47,"When the barn caught fire, the buffalo was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,buffalo,wild,fire_01,dismiss_02,dismiss,-87.5
48,Smoke filled the shed while the man remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,man,human,fire_02,help_01,help,-89.5
49,"Smoke filled the shed while the man remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,man,human,fire_02,help_02,help,-99.0
50,Smoke filled the shed while the man remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,man,human,fire_02,dismiss_01,dismiss,-104.0
51,Smoke filled the shed while the man remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,man,human,fire_02,dismiss_02,dismiss,-94.5
52,Smoke filled the shed while the woman remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,woman,human,fire_02,help_01,help,-91.0
53,"Smoke filled the shed while the woman remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,woman,human,fire_02,help_02,help,-100.5
54,Smoke filled the shed while the woman remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,woman,human,fire_02,dismiss_01,dismiss,-106.0
55,Smoke filled the shed while the woman remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,woman,human,fire_02,dismiss_02,dismiss,-97.0
56,Smoke filled the shed while the child remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,child,human,fire_02,help_01,help,-90.5
57,"Smoke filled the shed while the child remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,child,human,fire_02,help_02,help,-99.0
58,Smoke filled the shed while the child remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,child,human,fire_02,dismiss_01,dismiss,-105.0
59,Smoke filled the shed while the child remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,child,human,fire_02,dismiss_02,dismiss,-96.5
60,Smoke filled the shed while the dog remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,dog,companion,fire_02,help_01,help,-92.5
61,"Smoke filled the shed while the dog remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,dog,companion,fire_02,help_02,help,-100.5
62,Smoke filled the shed while the dog remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,dog,companion,fire_02,dismiss_01,dismiss,-105.5
63,Smoke filled the shed while the dog remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,dog,companion,fire_02,dismiss_02,dismiss,-98.0
64,Smoke filled the shed while the cat remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,cat,companion,fire_02,help_01,help,-93.0
65,"Smoke filled the shed while the cat remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,cat,companion,fire_02,help_02,help,-101.0
66,Smoke filled the shed while the cat remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,cat,companion,fire_02,dismiss_01,dismiss,-106.0
67,Smoke filled the shed while the cat remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,cat,companion,fire_02,dismiss_02,dismiss,-98.0
68,Smoke filled the shed while the rabbit remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,rabbit,companion,fire_02,help_01,help,-95.0
69,"Smoke filled the shed while the rabbit remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,rabbit,companion,fire_02,help_02,help,-103.5
70,Smoke filled the shed while the rabbit remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,rabbit,companion,fire_02,dismiss_01,dismiss,-108.0
71,Smoke filled the shed while the rabbit remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,rabbit,companion,fire_02,dismiss_02,dismiss,-99.5
72,Smoke filled the shed while the pig remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,pig,farmed,fire_02,help_01,help,-92.0
73,"Smoke filled the shed while the pig remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,pig,farmed,fire_02,help_02,help,-102.0
74,Smoke filled the shed while the pig remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,pig,farmed,fire_02,dismiss_01,dismiss,-105.5
75,Smoke filled the shed while the pig remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,pig,farmed,fire_02,dismiss_02,dismiss,-97.0
76,Smoke filled the shed while the cow remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,cow,farmed,fire_02,help_01,help,-92.5
77,"Smoke filled the shed while the cow remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,cow,farmed,fire_02,help_02,help,-103.0
78,Smoke filled the shed while the cow remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,cow,farmed,fire_02,dismiss_01,dismiss,-105.5
79,Smoke filled the shed while the cow remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,cow,farmed,fire_02,dismiss_02,dismiss,-98.0
80,Smoke filled the shed while the chicken remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,chicken,farmed,fire_02,help_01,help,-94.0
81,"Smoke filled the shed while the chicken remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,chicken,farmed,fire_02,help_02,help,-103.5
82,Smoke filled the shed while the chicken remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,chicken,farmed,fire_02,dismiss_01,dismiss,-106.5
83,Smoke filled the shed while the chicken remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,chicken,farmed,fire_02,dismiss_02,dismiss,-99.0
84,Smoke filled the shed while the rat remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,rat,wild,fire_02,help_01,help,-95.5
85,"Smoke filled the shed while the rat remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,rat,wild,fire_02,help_02,help,-104.5
86,Smoke filled the shed while the rat remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,rat,wild,fire_02,dismiss_01,dismiss,-109.0
87,Smoke filled the shed while the rat remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,rat,wild,fire_02,dismiss_02,dismiss,-98.5
88,Smoke filled the shed while the boar remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,boar,wild,fire_02,help_01,help,-96.5
89,"Smoke filled the shed while the boar remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,boar,wild,fire_02,help_02,help,-108.0
90,Smoke filled the shed while the boar remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,boar,wild,fire_02,dismiss_01,dismiss,-111.0
91,Smoke filled the shed while the boar remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,boar,wild,fire_02,dismiss_02,dismiss,-101.0
92,Smoke filled the shed while the buffalo remained stuck behind the jammed door. Everyone nearby dropped what they were doing and rushed to help.,1,buffalo,wild,fire_02,help_01,help,-95.5
93,"Smoke filled the shed while the buffalo remained stuck behind the jammed door. The rescue team was called in immediately, and no expense was spared.",1,buffalo,wild,fire_02,help_02,help,-109.0
94,Smoke filled the shed while the buffalo remained stuck behind the jammed door. Nobody thought the situation was worth interrupting the day for.,0,buffalo,wild,fire_02,dismiss_01,dismiss,-109.5
95,Smoke filled the shed while the buffalo remained stuck behind the jammed door. The onlookers shrugged and carried on as if nothing had happened.,0,buffalo,wild,fire_02,dismiss_02,dismiss,-102.0
96,"After the wildfire swept through the valley, the man was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,man,human,fire_03,help_01,help,-80.5
97,"After the wildfire swept through the valley, the man was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,man,human,fire_03,help_02,help,-88.5
98,"After the wildfire swept through the valley, the man was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,man,human,fire_03,dismiss_01,dismiss,-104.0
99,"After the wildfire swept through the valley, the man was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,man,human,fire_03,dismiss_02,dismiss,-89.5
100,"After the wildfire swept through the valley, the woman was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,woman,human,fire_03,help_01,help,-81.0
101,"After the wildfire swept through the valley, the woman was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,woman,human,fire_03,help_02,help,-89.0
102,"After the wildfire swept through the valley, the woman was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,woman,human,fire_03,dismiss_01,dismiss,-104.0
103,"After the wildfire swept through the valley, the woman was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,woman,human,fire_03,dismiss_02,dismiss,-90.0
104,"After the wildfire swept through the valley, the child was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,child,human,fire_03,help_01,help,-82.0
105,"After the wildfire swept through the valley, the child was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,child,human,fire_03,help_02,help,-88.5
106,"After the wildfire swept through the valley, the child was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,child,human,fire_03,dismiss_01,dismiss,-105.5
107,"After the wildfire swept through the valley, the child was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,child,human,fire_03,dismiss_02,dismiss,-91.0
108,"After the wildfire swept through the valley, the dog was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,dog,companion,fire_03,help_01,help,-82.0
109,"After the wildfire swept through the valley, the dog was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,dog,companion,fire_03,help_02,help,-88.5
110,"After the wildfire swept through the valley, the dog was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,dog,companion,fire_03,dismiss_01,dismiss,-103.0
111,"After the wildfire swept through the valley, the dog was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,dog,companion,fire_03,dismiss_02,dismiss,-91.0
112,"After the wildfire swept through the valley, the cat was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,cat,companion,fire_03,help_01,help,-82.0
113,"After the wildfire swept through the valley, the cat was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,cat,companion,fire_03,help_02,help,-88.5
114,"After the wildfire swept through the valley, the cat was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,cat,companion,fire_03,dismiss_01,dismiss,-103.0
115,"After the wildfire swept through the valley, the cat was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,cat,companion,fire_03,dismiss_02,dismiss,-91.0
116,"After the wildfire swept through the valley, the rabbit was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,rabbit,companion,fire_03,help_01,help,-84.0
117,"After the wildfire swept through the valley, the rabbit was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,rabbit,companion,fire_03,help_02,help,-89.5
118,"After the wildfire swept through the valley, the rabbit was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,rabbit,companion,fire_03,dismiss_01,dismiss,-106.0
119,"After the wildfire swept through the valley, the rabbit was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,rabbit,companion,fire_03,dismiss_02,dismiss,-91.5
120,"After the wildfire swept through the valley, the pig was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,pig,farmed,fire_03,help_01,help,-84.5
121,"After the wildfire swept through the valley, the pig was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,pig,farmed,fire_03,help_02,help,-90.5
122,"After the wildfire swept through the valley, the pig was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,pig,farmed,fire_03,dismiss_01,dismiss,-105.5
123,"After the wildfire swept through the valley, the pig was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,pig,farmed,fire_03,dismiss_02,dismiss,-92.5
124,"After the wildfire swept through the valley, the cow was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,cow,farmed,fire_03,help_01,help,-83.0
125,"After the wildfire swept through the valley, the cow was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,cow,farmed,fire_03,help_02,help,-88.5
126,"After the wildfire swept through the valley, the cow was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,cow,farmed,fire_03,dismiss_01,dismiss,-104.0
127,"After the wildfire swept through the valley, the cow was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,cow,farmed,fire_03,dismiss_02,dismiss,-91.0
128,"After the wildfire swept through the valley, the chicken was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,chicken,farmed,fire_03,help_01,help,-85.5
129,"After the wildfire swept through the valley, the chicken was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,chicken,farmed,fire_03,help_02,help,-92.5
130,"After the wildfire swept through the valley, the chicken was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,chicken,farmed,fire_03,dismiss_01,dismiss,-106.5
131,"After the wildfire swept through the valley, the chicken was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,chicken,farmed,fire_03,dismiss_02,dismiss,-93.5
132,"After the wildfire swept through the valley, the rat was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,rat,wild,fire_03,help_01,help,-88.0
133,"After the wildfire swept through the valley, the rat was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,rat,wild,fire_03,help_02,help,-94.0
134,"After the wildfire swept through the valley, the rat was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,rat,wild,fire_03,dismiss_01,dismiss,-110.5
135,"After the wildfire swept through the valley, the rat was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,rat,wild,fire_03,dismiss_02,dismiss,-95.5
136,"After the wildfire swept through the valley, the boar was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,boar,wild,fire_03,help_01,help,-87.0
137,"After the wildfire swept through the valley, the boar was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,boar,wild,fire_03,help_02,help,-91.5
138,"After the wildfire swept through the valley, the boar was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,boar,wild,fire_03,dismiss_01,dismiss,-108.5
139,"After the wildfire swept through the valley, the boar was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,boar,wild,fire_03,dismiss_02,dismiss,-94.0
140,"After the wildfire swept through the valley, the buffalo was found badly burned. Everyone nearby dropped what they were doing and rushed to help.",1,buffalo,wild,fire_03,help_01,help,-86.0
141,"After the wildfire swept through the valley, the buffalo was found badly burned. The rescue team was called in immediately, and no expense was spared.",1,buffalo,wild,fire_03,help_02,help,-91.0
142,"After the wildfire swept through the valley, the buffalo was found badly burned. Nobody thought the situation was worth interrupting the day for.",0,buffalo,wild,fire_03,dismiss_01,dismiss,-109.0
143,"After the wildfire swept through the valley, the buffalo was found badly burned. The onlookers shrugged and carried on as if nothing had happened.",0,buffalo,wild,fire_03,dismiss_02,dismiss,-94.5
144,Rescuers pulled the man from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,man,human,fire_04,help_01,help,-71.5
145,"Rescuers pulled the man from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,man,human,fire_04,help_02,help,-83.0
146,Rescuers pulled the man from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,man,human,fire_04,dismiss_01,dismiss,-91.5
147,Rescuers pulled the man from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,man,human,fire_04,dismiss_02,dismiss,-79.0
148,Rescuers pulled the woman from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,woman,human,fire_04,help_01,help,-71.5
149,"Rescuers pulled the woman from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,woman,human,fire_04,help_02,help,-82.5
150,Rescuers pulled the woman from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,woman,human,fire_04,dismiss_01,dismiss,-92.0
151,Rescuers pulled the woman from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,woman,human,fire_04,dismiss_02,dismiss,-79.5
152,Rescuers pulled the child from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,child,human,fire_04,help_01,help,-72.5
153,"Rescuers pulled the child from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,child,human,fire_04,help_02,help,-83.0
154,Rescuers pulled the child from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,child,human,fire_04,dismiss_01,dismiss,-93.0
155,Rescuers pulled the child from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,child,human,fire_04,dismiss_02,dismiss,-81.0
156,Rescuers pulled the dog from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,dog,companion,fire_04,help_01,help,-73.5
157,"Rescuers pulled the dog from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,dog,companion,fire_04,help_02,help,-85.0
158,Rescuers pulled the dog from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,dog,companion,fire_04,dismiss_01,dismiss,-95.5
159,Rescuers pulled the dog from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,dog,companion,fire_04,dismiss_02,dismiss,-80.5
160,Rescuers pulled the cat from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,cat,companion,fire_04,help_01,help,-75.0
161,"Rescuers pulled the cat from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,cat,companion,fire_04,help_02,help,-86.0
162,Rescuers pulled the cat from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,cat,companion,fire_04,dismiss_01,dismiss,-96.0
163,Rescuers pulled the cat from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,cat,companion,fire_04,dismiss_02,dismiss,-81.0
164,Rescuers pulled the rabbit from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,rabbit,companion,fire_04,help_01,help,-78.5
165,"Rescuers pulled the rabbit from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,rabbit,companion,fire_04,help_02,help,-89.0
166,Rescuers pulled the rabbit from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,rabbit,companion,fire_04,dismiss_01,dismiss,-98.5
167,Rescuers pulled the rabbit from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,rabbit,companion,fire_04,dismiss_02,dismiss,-84.0
168,Rescuers pulled the pig from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,pig,farmed,fire_04,help_01,help,-78.5
169,"Rescuers pulled the pig from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,pig,farmed,fire_04,help_02,help,-90.0
170,Rescuers pulled the pig from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,pig,farmed,fire_04,dismiss_01,dismiss,-99.0
171,Rescuers pulled the pig from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,pig,farmed,fire_04,dismiss_02,dismiss,-85.0
172,Rescuers pulled the cow from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,cow,farmed,fire_04,help_01,help,-77.0
173,"Rescuers pulled the cow from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,cow,farmed,fire_04,help_02,help,-89.5
174,Rescuers pulled the cow from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,cow,farmed,fire_04,dismiss_01,dismiss,-95.0
175,Rescuers pulled the cow from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,cow,farmed,fire_04,dismiss_02,dismiss,-82.5
176,Rescuers pulled the chicken from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,chicken,farmed,fire_04,help_01,help,-81.0
177,"Rescuers pulled the chicken from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,chicken,farmed,fire_04,help_02,help,-92.5
178,Rescuers pulled the chicken from the burning building just before the roof collapsed. Nobody thought the situation was worth interrupting the day for.,0,chicken,farmed,fire_04,dismiss_01,dismiss,-99.5
179,Rescuers pulled the chicken from the burning building just before the roof collapsed. The onlookers shrugged and carried on as if nothing had happened.,0,chicken,farmed,fire_04,dismiss_02,dismiss,-86.0
180,Rescuers pulled the rat from the burning building just before the roof collapsed. Everyone nearby dropped what they were doing and rushed to help.,1,rat,wild,fire_04,help_01,help,-82.0
181,"Rescuers pulled the rat from the burning building just before the roof collapsed. The rescue team was called in immediately, and no expense was spared.",1,rat,wild,fire_04,help_02,help,-91.5
